index,sourcetype,"_time",count
aix,"aix:syslog","2022-06-20T00:00:00.000-0400",32153
aix,"aix:syslog","2022-06-20T00:30:00.000-0400",28394
aix,"aix:syslog","2022-06-20T01:00:00.000-0400",33783
aix,"aix:syslog","2022-06-20T01:30:00.000-0400",29670
aix,"aix:syslog","2022-06-20T02:00:00.000-0400",32151
aix,"aix:syslog","2022-06-20T02:30:00.000-0400",35594
aix,"aix:syslog","2022-06-20T03:00:00.000-0400",41719
aix,"aix:syslog","2022-06-20T03:30:00.000-0400",30303
aix,"aix:syslog","2022-06-20T04:00:00.000-0400",35532
aix,"aix:syslog","2022-06-20T04:30:00.000-0400",32792
aix,"aix:syslog","2022-06-20T05:00:00.000-0400",33336
aix,"aix:syslog","2022-06-20T05:30:00.000-0400",30873
aix,"aix:syslog","2022-06-20T06:00:00.000-0400",35032
aix,"aix:syslog","2022-06-20T06:30:00.000-0400",29966
aix,"aix:syslog","2022-06-20T07:00:00.000-0400",35159
aix,"aix:syslog","2022-06-20T07:30:00.000-0400",31945
aix,"aix:syslog","2022-06-20T08:00:00.000-0400",32221
aix,"aix:syslog","2022-06-20T08:30:00.000-0400",31546
aix,"aix:syslog","2022-06-20T09:00:00.000-0400",38114
aix,"aix:syslog","2022-06-20T09:30:00.000-0400",30314
aix,"aix:syslog","2022-06-20T10:00:00.000-0400",33215
aix,"aix:syslog","2022-06-20T10:30:00.000-0400",30144
aix,"aix:syslog","2022-06-20T11:00:00.000-0400",37493
aix,"aix:syslog","2022-06-20T11:30:00.000-0400",29908
