index,sourcetype,"_time",count
aix,"aix:stream","2022-06-20T00:00:00.000-0400",11866333
aix,"aix:stream","2022-06-20T00:30:00.000-0400",10569827
aix,"aix:stream","2022-06-20T01:00:00.000-0400",5925180
aix,"aix:stream","2022-06-20T01:30:00.000-0400",3761181
aix,"aix:stream","2022-06-20T02:00:00.000-0400",3110209
aix,"aix:stream","2022-06-20T02:30:00.000-0400",2877263
aix,"aix:stream","2022-06-20T03:00:00.000-0400",7171416
aix,"aix:stream","2022-06-20T03:30:00.000-0400",4005706
aix,"aix:stream","2022-06-20T04:00:00.000-0400",6830695
aix,"aix:stream","2022-06-20T04:30:00.000-0400",5672604
aix,"aix:stream","2022-06-20T05:00:00.000-0400",5762055
aix,"aix:stream","2022-06-20T05:30:00.000-0400",2946483
aix,"aix:stream","2022-06-20T06:00:00.000-0400",2775771
aix,"aix:stream","2022-06-20T06:30:00.000-0400",2485106
aix,"aix:stream","2022-06-20T07:00:00.000-0400",2490185
aix,"aix:stream","2022-06-20T07:30:00.000-0400",2483782
aix,"aix:stream","2022-06-20T08:00:00.000-0400",2652775
aix,"aix:stream","2022-06-20T08:30:00.000-0400",2604013
aix,"aix:stream","2022-06-20T09:00:00.000-0400",2912764
aix,"aix:stream","2022-06-20T09:30:00.000-0400",2826524
aix,"aix:stream","2022-06-20T10:00:00.000-0400",37292611
aix,"aix:stream","2022-06-20T10:30:00.000-0400",12946477
aix,"aix:stream","2022-06-20T11:00:00.000-0400",3138348
aix,"aix:stream","2022-06-20T11:30:00.000-0400",2725365
aix,"aix:stream","2022-06-20T12:00:00.000-0400",2737077
aix,"aix:stream","2022-06-20T12:30:00.000-0400",2552651
aix,"aix:stream","2022-06-20T13:00:00.000-0400",2738053
aix,"aix:stream","2022-06-20T13:30:00.000-0400",2566835
aix,"aix:stream","2022-06-20T14:00:00.000-0400",2878241
aix,"aix:stream","2022-06-20T14:30:00.000-0400",2903601
aix,"aix:stream","2022-06-20T15:00:00.000-0400",2682297
aix,"aix:stream","2022-06-20T15:30:00.000-0400",2592430
aix,"aix:stream","2022-06-20T16:00:00.000-0400",2903272
aix,"aix:stream","2022-06-20T16:30:00.000-0400",2596103
aix,"aix:stream","2022-06-20T17:00:00.000-0400",4814005
aix,"aix:stream","2022-06-20T17:30:00.000-0400",2617920
aix,"aix:stream","2022-06-20T18:00:00.000-0400",2892350
aix,"aix:stream","2022-06-20T18:30:00.000-0400",2571231
aix,"aix:stream","2022-06-20T19:00:00.000-0400",2965113
aix,"aix:stream","2022-06-20T19:30:00.000-0400",2458232
aix,"aix:stream","2022-06-20T20:00:00.000-0400",2615002
aix,"aix:stream","2022-06-20T20:30:00.000-0400",2468990
aix,"aix:stream","2022-06-20T21:00:00.000-0400",3738348
aix,"aix:stream","2022-06-20T21:30:00.000-0400",2497571
aix,"aix:stream","2022-06-20T22:00:00.000-0400",32985326
aix,"aix:stream","2022-06-20T22:30:00.000-0400",23744321
aix,"aix:stream","2022-06-20T23:00:00.000-0400",2877139
aix,"aix:stream","2022-06-20T23:30:00.000-0400",2503774
aix,"aix:stream","2022-06-21T00:00:00.000-0400",11987694
aix,"aix:stream","2022-06-21T00:30:00.000-0400",10692972
aix,"aix:stream","2022-06-21T01:00:00.000-0400",3123012
aix,"aix:stream","2022-06-21T01:30:00.000-0400",2609401
aix,"aix:stream","2022-06-21T02:00:00.000-0400",2992577
aix,"aix:stream","2022-06-21T02:30:00.000-0400",3006241
aix,"aix:stream","2022-06-21T03:00:00.000-0400",7236743
aix,"aix:stream","2022-06-21T03:30:00.000-0400",3859107
aix,"aix:stream","2022-06-21T04:00:00.000-0400",7035347
aix,"aix:stream","2022-06-21T04:30:00.000-0400",5930856
aix,"aix:stream","2022-06-21T05:00:00.000-0400",5300122
aix,"aix:stream","2022-06-21T05:30:00.000-0400",2478772
aix,"aix:stream","2022-06-21T06:00:00.000-0400",3029781
aix,"aix:stream","2022-06-21T06:30:00.000-0400",2854272
aix,"aix:stream","2022-06-21T07:00:00.000-0400",2746882
aix,"aix:stream","2022-06-21T07:30:00.000-0400",2865212
aix,"aix:stream","2022-06-21T08:00:00.000-0400",3183637
aix,"aix:stream","2022-06-21T08:30:00.000-0400",2771118
aix,"aix:stream","2022-06-21T09:00:00.000-0400",2893488
aix,"aix:stream","2022-06-21T09:30:00.000-0400",2667537
aix,"aix:stream","2022-06-21T10:00:00.000-0400",2625191
aix,"aix:stream","2022-06-21T10:30:00.000-0400",2517119
aix,"aix:stream","2022-06-21T11:00:00.000-0400",3003265
aix,"aix:stream","2022-06-21T11:30:00.000-0400",2507869
aix,"aix:stream","2022-06-21T12:00:00.000-0400",2822285
aix,"aix:stream","2022-06-21T12:30:00.000-0400",2668027
aix,"aix:stream","2022-06-21T13:00:00.000-0400",2832077
aix,"aix:stream","2022-06-21T13:30:00.000-0400",2800396
aix,"aix:stream","2022-06-21T14:00:00.000-0400",3123222
aix,"aix:stream","2022-06-21T14:30:00.000-0400",2964806
aix,"aix:stream","2022-06-21T15:00:00.000-0400",2708382
aix,"aix:stream","2022-06-21T15:30:00.000-0400",2700244
aix,"aix:stream","2022-06-21T16:00:00.000-0400",2872092
aix,"aix:stream","2022-06-21T16:30:00.000-0400",2779170
aix,"aix:stream","2022-06-21T17:00:00.000-0400",4777375
aix,"aix:stream","2022-06-21T17:30:00.000-0400",2673393
aix,"aix:stream","2022-06-21T18:00:00.000-0400",2815559
aix,"aix:stream","2022-06-21T18:30:00.000-0400",2664456
aix,"aix:stream","2022-06-21T19:00:00.000-0400",2632649
aix,"aix:stream","2022-06-21T19:30:00.000-0400",2529841
aix,"aix:stream","2022-06-21T20:00:00.000-0400",2549348
aix,"aix:stream","2022-06-21T20:30:00.000-0400",2674598
aix,"aix:stream","2022-06-21T21:00:00.000-0400",4149964
aix,"aix:stream","2022-06-21T21:30:00.000-0400",2766540
aix,"aix:stream","2022-06-21T22:00:00.000-0400",2854384
aix,"aix:stream","2022-06-21T22:30:00.000-0400",2616146
aix,"aix:stream","2022-06-21T23:00:00.000-0400",2942984
aix,"aix:stream","2022-06-21T23:30:00.000-0400",2714969
aix,"aix:stream","2022-06-22T00:00:00.000-0400",12184274
aix,"aix:stream","2022-06-22T00:30:00.000-0400",10820446
aix,"aix:stream","2022-06-22T01:00:00.000-0400",3700809
aix,"aix:stream","2022-06-22T01:30:00.000-0400",3009308
aix,"aix:stream","2022-06-22T02:00:00.000-0400",2516090
aix,"aix:stream","2022-06-22T02:30:00.000-0400",2623087
aix,"aix:stream","2022-06-22T03:00:00.000-0400",7314517
aix,"aix:stream","2022-06-22T03:30:00.000-0400",3901254
aix,"aix:stream","2022-06-22T04:00:00.000-0400",6797611
aix,"aix:stream","2022-06-22T04:30:00.000-0400",5701858
aix,"aix:stream","2022-06-22T05:00:00.000-0400",5727014
aix,"aix:stream","2022-06-22T05:30:00.000-0400",2641941
aix,"aix:stream","2022-06-22T06:00:00.000-0400",2749931
aix,"aix:stream","2022-06-22T06:30:00.000-0400",2753409
aix,"aix:stream","2022-06-22T07:00:00.000-0400",2542744
aix,"aix:stream","2022-06-22T07:30:00.000-0400",2707096
aix,"aix:stream","2022-06-22T08:00:00.000-0400",2920684
aix,"aix:stream","2022-06-22T08:30:00.000-0400",2716377
aix,"aix:stream","2022-06-22T09:00:00.000-0400",2999203
aix,"aix:stream","2022-06-22T09:30:00.000-0400",2833929
aix,"aix:stream","2022-06-22T10:00:00.000-0400",37750990
aix,"aix:stream","2022-06-22T10:30:00.000-0400",12737703
aix,"aix:stream","2022-06-22T11:00:00.000-0400",3197312
aix,"aix:stream","2022-06-22T11:30:00.000-0400",2774960
aix,"aix:stream","2022-06-22T12:00:00.000-0400",2851721
aix,"aix:stream","2022-06-22T12:30:00.000-0400",2719841
aix,"aix:stream","2022-06-22T13:00:00.000-0400",2684132
aix,"aix:stream","2022-06-22T13:30:00.000-0400",2674022
aix,"aix:stream","2022-06-22T14:00:00.000-0400",2912001
aix,"aix:stream","2022-06-22T14:30:00.000-0400",2832858
aix,"aix:stream","2022-06-22T15:00:00.000-0400",2605889
aix,"aix:stream","2022-06-22T15:30:00.000-0400",2521343
aix,"aix:stream","2022-06-22T16:00:00.000-0400",2654662
aix,"aix:stream","2022-06-22T16:30:00.000-0400",2661357
aix,"aix:stream","2022-06-22T17:00:00.000-0400",4709387
aix,"aix:stream","2022-06-22T17:30:00.000-0400",3206547
aix,"aix:stream","2022-06-22T18:00:00.000-0400",2918058
aix,"aix:stream","2022-06-22T18:30:00.000-0400",2785730
aix,"aix:stream","2022-06-22T19:00:00.000-0400",2919315
aix,"aix:stream","2022-06-22T19:30:00.000-0400",2529746
aix,"aix:stream","2022-06-22T20:00:00.000-0400",2643147
aix,"aix:stream","2022-06-22T20:30:00.000-0400",2689456
aix,"aix:stream","2022-06-22T21:00:00.000-0400",4145757
aix,"aix:stream","2022-06-22T21:30:00.000-0400",2702292
aix,"aix:stream","2022-06-22T22:00:00.000-0400",32533229
aix,"aix:stream","2022-06-22T22:30:00.000-0400",24403694
aix,"aix:stream","2022-06-22T23:00:00.000-0400",2942998
aix,"aix:stream","2022-06-22T23:30:00.000-0400",2422545
aix,"aix:stream","2022-06-23T00:00:00.000-0400",11928541
aix,"aix:stream","2022-06-23T00:30:00.000-0400",10747321
aix,"aix:stream","2022-06-23T01:00:00.000-0400",3385477
aix,"aix:stream","2022-06-23T01:30:00.000-0400",2569103
aix,"aix:stream","2022-06-23T02:00:00.000-0400",3079442
aix,"aix:stream","2022-06-23T02:30:00.000-0400",2447730
aix,"aix:stream","2022-06-23T03:00:00.000-0400",7210909
aix,"aix:stream","2022-06-23T03:30:00.000-0400",3947344
aix,"aix:stream","2022-06-23T04:00:00.000-0400",6987262
aix,"aix:stream","2022-06-23T04:30:00.000-0400",5778360
aix,"aix:stream","2022-06-23T05:00:00.000-0400",5674508
aix,"aix:stream","2022-06-23T05:30:00.000-0400",2855618
aix,"aix:stream","2022-06-23T06:00:00.000-0400",2834633
aix,"aix:stream","2022-06-23T06:30:00.000-0400",2972789
aix,"aix:stream","2022-06-23T07:00:00.000-0400",2638212
aix,"aix:stream","2022-06-23T07:30:00.000-0400",2641912
aix,"aix:stream","2022-06-23T08:00:00.000-0400",2756455
aix,"aix:stream","2022-06-23T08:30:00.000-0400",2607183
aix,"aix:stream","2022-06-23T09:00:00.000-0400",2873519
aix,"aix:stream","2022-06-23T09:30:00.000-0400",2687658
aix,"aix:stream","2022-06-23T10:00:00.000-0400",2769078
aix,"aix:stream","2022-06-23T10:30:00.000-0400",2626878
aix,"aix:stream","2022-06-23T11:00:00.000-0400",3101649
aix,"aix:stream","2022-06-23T11:30:00.000-0400",2756356
aix,"aix:stream","2022-06-23T12:00:00.000-0400",2773411
aix,"aix:stream","2022-06-23T12:30:00.000-0400",2662177
aix,"aix:stream","2022-06-23T13:00:00.000-0400",2871924
aix,"aix:stream","2022-06-23T13:30:00.000-0400",2732669
aix,"aix:stream","2022-06-23T14:00:00.000-0400",3016444
aix,"aix:stream","2022-06-23T14:30:00.000-0400",2972214
aix,"aix:stream","2022-06-23T15:00:00.000-0400",2674775
aix,"aix:stream","2022-06-23T15:30:00.000-0400",2463645
aix,"aix:stream","2022-06-23T16:00:00.000-0400",2731322
aix,"aix:stream","2022-06-23T16:30:00.000-0400",2648752
aix,"aix:stream","2022-06-23T17:00:00.000-0400",4680878
aix,"aix:stream","2022-06-23T17:30:00.000-0400",2755972
aix,"aix:stream","2022-06-23T18:00:00.000-0400",2970114
aix,"aix:stream","2022-06-23T18:30:00.000-0400",2726262
aix,"aix:stream","2022-06-23T19:00:00.000-0400",2701198
aix,"aix:stream","2022-06-23T19:30:00.000-0400",2554780
aix,"aix:stream","2022-06-23T20:00:00.000-0400",2595792
aix,"aix:stream","2022-06-23T20:30:00.000-0400",2642481
aix,"aix:stream","2022-06-23T21:00:00.000-0400",4096270
aix,"aix:stream","2022-06-23T21:30:00.000-0400",2505821
aix,"aix:stream","2022-06-23T22:00:00.000-0400",2889679
aix,"aix:stream","2022-06-23T22:30:00.000-0400",2592949
aix,"aix:stream","2022-06-23T23:00:00.000-0400",3089864
aix,"aix:stream","2022-06-23T23:30:00.000-0400",2719178
aix,"aix:stream","2022-06-24T00:00:00.000-0400",12056208
aix,"aix:stream","2022-06-24T00:30:00.000-0400",10729218
aix,"aix:stream","2022-06-24T01:00:00.000-0400",3768201
aix,"aix:stream","2022-06-24T01:30:00.000-0400",2549900
aix,"aix:stream","2022-06-24T02:00:00.000-0400",2521286
aix,"aix:stream","2022-06-24T02:30:00.000-0400",2468932
aix,"aix:stream","2022-06-24T03:00:00.000-0400",5982829
aix,"aix:stream","2022-06-24T03:30:00.000-0400",4979818
aix,"aix:stream","2022-06-24T04:00:00.000-0400",6787637
aix,"aix:stream","2022-06-24T04:30:00.000-0400",5266196
aix,"aix:stream","2022-06-24T05:00:00.000-0400",5066535
aix,"aix:stream","2022-06-24T05:30:00.000-0400",3863310
aix,"aix:stream","2022-06-24T06:00:00.000-0400",2930464
aix,"aix:stream","2022-06-24T06:30:00.000-0400",2799294
aix,"aix:stream","2022-06-24T07:00:00.000-0400",2658785
aix,"aix:stream","2022-06-24T07:30:00.000-0400",2630641
aix,"aix:stream","2022-06-24T08:00:00.000-0400",2694079
aix,"aix:stream","2022-06-24T08:30:00.000-0400",2570516
aix,"aix:stream","2022-06-24T09:00:00.000-0400",2936797
aix,"aix:stream","2022-06-24T09:30:00.000-0400",2698833
aix,"aix:stream","2022-06-24T10:00:00.000-0400",37666390
aix,"aix:stream","2022-06-24T10:30:00.000-0400",12877267
aix,"aix:stream","2022-06-24T11:00:00.000-0400",3233737
aix,"aix:stream","2022-06-24T11:30:00.000-0400",2771030
aix,"aix:stream","2022-06-24T12:00:00.000-0400",2652157
aix,"aix:stream","2022-06-24T12:30:00.000-0400",2576269
aix,"aix:stream","2022-06-24T13:00:00.000-0400",2911086
aix,"aix:stream","2022-06-24T13:30:00.000-0400",2571791
aix,"aix:stream","2022-06-24T14:00:00.000-0400",2759861
aix,"aix:stream","2022-06-24T14:30:00.000-0400",2840222
aix,"aix:stream","2022-06-24T15:00:00.000-0400",2714877
aix,"aix:stream","2022-06-24T15:30:00.000-0400",2469327
aix,"aix:stream","2022-06-24T16:00:00.000-0400",2659792
aix,"aix:stream","2022-06-24T16:30:00.000-0400",2611858
aix,"aix:stream","2022-06-24T17:00:00.000-0400",5533486
aix,"aix:stream","2022-06-24T17:30:00.000-0400",6758633
aix,"aix:stream","2022-06-24T18:00:00.000-0400",4632907
aix,"aix:stream","2022-06-24T18:30:00.000-0400",4586879
aix,"aix:stream","2022-06-24T19:00:00.000-0400",4407191
aix,"aix:stream","2022-06-24T19:30:00.000-0400",4194222
aix,"aix:stream","2022-06-24T20:00:00.000-0400",4200350
aix,"aix:stream","2022-06-24T20:30:00.000-0400",3864339
aix,"aix:stream","2022-06-24T21:00:00.000-0400",4602203
aix,"aix:stream","2022-06-24T21:30:00.000-0400",3993929
aix,"aix:stream","2022-06-24T22:00:00.000-0400",8617319
aix,"aix:stream","2022-06-24T22:30:00.000-0400",7686626
aix,"aix:stream","2022-06-24T23:00:00.000-0400",7710907
aix,"aix:stream","2022-06-24T23:30:00.000-0400",6425742
aix,"aix:stream","2022-06-25T00:00:00.000-0400",15380773
aix,"aix:stream","2022-06-25T00:30:00.000-0400",14755563
aix,"aix:stream","2022-06-25T01:00:00.000-0400",6583133
aix,"aix:stream","2022-06-25T01:30:00.000-0400",7039318
aix,"aix:stream","2022-06-25T02:00:00.000-0400",6233702
aix,"aix:stream","2022-06-25T02:30:00.000-0400",6998424
aix,"aix:stream","2022-06-25T03:00:00.000-0400",10877700
aix,"aix:stream","2022-06-25T03:30:00.000-0400",8152345
aix,"aix:stream","2022-06-25T04:00:00.000-0400",14542689
aix,"aix:stream","2022-06-25T04:30:00.000-0400",11431617
aix,"aix:stream","2022-06-25T05:00:00.000-0400",8890249
aix,"aix:stream","2022-06-25T05:30:00.000-0400",4374729
aix,"aix:stream","2022-06-25T06:00:00.000-0400",4141968
aix,"aix:stream","2022-06-25T06:30:00.000-0400",3412553
aix,"aix:stream","2022-06-25T07:00:00.000-0400",3894807
aix,"aix:stream","2022-06-25T07:30:00.000-0400",6015505
aix,"aix:stream","2022-06-25T08:00:00.000-0400",4377410
aix,"aix:stream","2022-06-25T08:30:00.000-0400",3737009
aix,"aix:stream","2022-06-25T09:00:00.000-0400",3760549
aix,"aix:stream","2022-06-25T09:30:00.000-0400",5327876
aix,"aix:stream","2022-06-25T10:00:00.000-0400",4978887
aix,"aix:stream","2022-06-25T10:30:00.000-0400",3634770
aix,"aix:stream","2022-06-25T11:00:00.000-0400",4412590
aix,"aix:stream","2022-06-25T11:30:00.000-0400",2387505
aix,"aix:stream","2022-06-25T12:00:00.000-0400",2467658
aix,"aix:stream","2022-06-25T12:30:00.000-0400",2388620
aix,"aix:stream","2022-06-25T13:00:00.000-0400",2480537
aix,"aix:stream","2022-06-25T13:30:00.000-0400",2521744
aix,"aix:stream","2022-06-25T14:00:00.000-0400",2841083
aix,"aix:stream","2022-06-25T14:30:00.000-0400",2478924
aix,"aix:stream","2022-06-25T15:00:00.000-0400",2515277
aix,"aix:stream","2022-06-25T15:30:00.000-0400",2391644
aix,"aix:stream","2022-06-25T16:00:00.000-0400",2552505
aix,"aix:stream","2022-06-25T16:30:00.000-0400",2573642
aix,"aix:stream","2022-06-25T17:00:00.000-0400",4668241
aix,"aix:stream","2022-06-25T17:30:00.000-0400",2545636
aix,"aix:stream","2022-06-25T18:00:00.000-0400",2621168
aix,"aix:stream","2022-06-25T18:30:00.000-0400",2421940
aix,"aix:stream","2022-06-25T19:00:00.000-0400",2593279
aix,"aix:stream","2022-06-25T19:30:00.000-0400",2424285
aix,"aix:stream","2022-06-25T20:00:00.000-0400",2618346
aix,"aix:stream","2022-06-25T20:30:00.000-0400",2406359
aix,"aix:stream","2022-06-25T21:00:00.000-0400",3751835
aix,"aix:stream","2022-06-25T21:30:00.000-0400",2460379
aix,"aix:stream","2022-06-25T22:00:00.000-0400",2718276
aix,"aix:stream","2022-06-25T22:30:00.000-0400",2334962
