index,sourcetype,"_time",count
aix,"aix:stream","2022-06-20T00:00:00.000-0400",11866333
aix,"aix:stream","2022-06-20T00:30:00.000-0400",10569827
aix,"aix:stream","2022-06-20T01:00:00.000-0400",5925180
aix,"aix:stream","2022-06-20T01:30:00.000-0400",3761181
aix,"aix:stream","2022-06-20T02:00:00.000-0400",3110209
aix,"aix:stream","2022-06-20T02:30:00.000-0400",2877263
aix,"aix:stream","2022-06-20T03:00:00.000-0400",7171416
aix,"aix:stream","2022-06-20T03:30:00.000-0400",4005706
aix,"aix:stream","2022-06-20T04:00:00.000-0400",6830695
aix,"aix:stream","2022-06-20T04:30:00.000-0400",5672604
aix,"aix:stream","2022-06-20T05:00:00.000-0400",5762055
aix,"aix:stream","2022-06-20T05:30:00.000-0400",2946483
aix,"aix:stream","2022-06-20T06:00:00.000-0400",2775771
aix,"aix:stream","2022-06-20T06:30:00.000-0400",2485106
aix,"aix:stream","2022-06-20T07:00:00.000-0400",2490185
aix,"aix:stream","2022-06-20T07:30:00.000-0400",2483782
aix,"aix:stream","2022-06-20T08:00:00.000-0400",2652775
aix,"aix:stream","2022-06-20T08:30:00.000-0400",2604013
aix,"aix:stream","2022-06-20T09:00:00.000-0400",2912764
aix,"aix:stream","2022-06-20T09:30:00.000-0400",2826524
aix,"aix:stream","2022-06-20T10:00:00.000-0400",37292611
aix,"aix:stream","2022-06-20T10:30:00.000-0400",12946477
aix,"aix:stream","2022-06-20T11:00:00.000-0400",3138348
aix,"aix:stream","2022-06-20T11:30:00.000-0400",2725365
