index,sourcetype,"_time",count
aix,"aix:syslog","2022-06-20T00:00:00.000-0400",32153
aix,"aix:syslog","2022-06-20T00:30:00.000-0400",28394
aix,"aix:syslog","2022-06-20T01:00:00.000-0400",33783
aix,"aix:syslog","2022-06-20T01:30:00.000-0400",29670
aix,"aix:syslog","2022-06-20T02:00:00.000-0400",32151
aix,"aix:syslog","2022-06-20T02:30:00.000-0400",35594
aix,"aix:syslog","2022-06-20T03:00:00.000-0400",41719
aix,"aix:syslog","2022-06-20T03:30:00.000-0400",30303
aix,"aix:syslog","2022-06-20T04:00:00.000-0400",35532
aix,"aix:syslog","2022-06-20T04:30:00.000-0400",32792
aix,"aix:syslog","2022-06-20T05:00:00.000-0400",33336
aix,"aix:syslog","2022-06-20T05:30:00.000-0400",30873
aix,"aix:syslog","2022-06-20T06:00:00.000-0400",35032
aix,"aix:syslog","2022-06-20T06:30:00.000-0400",29966
aix,"aix:syslog","2022-06-20T07:00:00.000-0400",35159
aix,"aix:syslog","2022-06-20T07:30:00.000-0400",31945
aix,"aix:syslog","2022-06-20T08:00:00.000-0400",32221
aix,"aix:syslog","2022-06-20T08:30:00.000-0400",31546
aix,"aix:syslog","2022-06-20T09:00:00.000-0400",38114
aix,"aix:syslog","2022-06-20T09:30:00.000-0400",30314
aix,"aix:syslog","2022-06-20T10:00:00.000-0400",33215
aix,"aix:syslog","2022-06-20T10:30:00.000-0400",30144
aix,"aix:syslog","2022-06-20T11:00:00.000-0400",37493
aix,"aix:syslog","2022-06-20T11:30:00.000-0400",29908
aix,"aix:syslog","2022-06-20T12:00:00.000-0400",31614
aix,"aix:syslog","2022-06-20T12:30:00.000-0400",30746
aix,"aix:syslog","2022-06-20T13:00:00.000-0400",33194
aix,"aix:syslog","2022-06-20T13:30:00.000-0400",31499
aix,"aix:syslog","2022-06-20T14:00:00.000-0400",31832
aix,"aix:syslog","2022-06-20T14:30:00.000-0400",30077
aix,"aix:syslog","2022-06-20T15:00:00.000-0400",34110
aix,"aix:syslog","2022-06-20T15:30:00.000-0400",29812
aix,"aix:syslog","2022-06-20T16:00:00.000-0400",33330
aix,"aix:syslog","2022-06-20T16:30:00.000-0400",30310
aix,"aix:syslog","2022-06-20T17:00:00.000-0400",32909
aix,"aix:syslog","2022-06-20T17:30:00.000-0400",29249
aix,"aix:syslog","2022-06-20T18:00:00.000-0400",30974
aix,"aix:syslog","2022-06-20T18:30:00.000-0400",29677
aix,"aix:syslog","2022-06-20T19:00:00.000-0400",33262
aix,"aix:syslog","2022-06-20T19:30:00.000-0400",30331
aix,"aix:syslog","2022-06-20T20:00:00.000-0400",31656
aix,"aix:syslog","2022-06-20T20:30:00.000-0400",34822
aix,"aix:syslog","2022-06-20T21:00:00.000-0400",41526
aix,"aix:syslog","2022-06-20T21:30:00.000-0400",39206
aix,"aix:syslog","2022-06-20T22:00:00.000-0400",43110
aix,"aix:syslog","2022-06-20T22:30:00.000-0400",42157
aix,"aix:syslog","2022-06-20T23:00:00.000-0400",44923
