title,"eai:acl.owner",actions,"eai:acl.app","cron_schedule","dispatch.earliest_time","dispatch.latest_time",search
"DET-1210364-win_susp_dns_config",axg3394,"send_to_sentinel",search,"52 * * * *","-60m@m",now,"index=wineventlog EventCode IN(""150"" ""770"") ""*dns*""
| stats count by _time host EventCode SourceName Message



``` START
All data below this comment are required for integration with Sentinel for incident creation 
to work properly.
```
| makejson output=result_data_temp        ``` package all results into a single field ```
| strcat result_data_temp "" "" result_data ``` hack to make json immutable ... ```
| fields result_data
| addinfo ``` Get the sid of this search to use as a 'unique' key and reference variable ```
``` FILL OUT DETECTION DETAILS ```
| setfields detection_name = ""DET-1210364-win_susp_dns_config""
| setfields detection_description = ""DET-1210364-win_susp_dns_config""
| setfields severity = ""high"" ``` Valid values: Informational, Low, Medium, High ```
| setfields mitre_tactic = ""DefenseEvasion"" ``` Valid values: https://docs.microsoft.com/en-us/rest/api/securityinsights/stable/incidents/list-of-entities#killchainintent ```
| setfields mitre_technique = """"
``` END ```"
"DET-1210420-proc_creation_win_apt_apt29_thinktanks",axg3394,"send_to_sentinel",search,"12 * * * *","-60m@m",now,"index=wineventlog source IN(""WinEventLog:Microsoft-Windows-Sysmon/Operational"" ""XmlWinEventLog:Microsoft-Windows-Sysmon/Operational"") EventCode=""1"" 
CommandLine=""*-noni*"" AND CommandLine=""*-ep*"" AND CommandLine=""*bypass*"" AND CommandLine=""*$*""
| stats count by _time host Image CommandLine ParentCommandLine
| sort 0 + _time



``` START
All data below this comment are required for integration with Sentinel for incident creation 
to work properly.
```
| makejson output=result_data_temp        ``` package all results into a single field ```
| strcat result_data_temp "" "" result_data ``` hack to make json immutable ... ```
| fields result_data
| addinfo ``` Get the sid of this search to use as a 'unique' key and reference variable ```
``` FILL OUT DETECTION DETAILS ```
| setfields detection_name = ""DET-1210420-proc_creation_win_apt_apt29_thinktanks""
| setfields detection_description = ""DET-1210420-proc_creation_win_apt_apt29_thinktanks""
| setfields severity = ""high"" ``` Valid values: Informational, Low, Medium, High ```
| setfields mitre_tactic = ""Execution"" ``` Valid values: https://docs.microsoft.com/en-us/rest/api/securityinsights/stable/incidents/list-of-entities#killchainintent ```
| setfields mitre_technique = """"
``` END ```"
"DET-1210421-proc_creation_win_apt_babyshark",axg3394,"send_to_sentinel",search,"6 * * * *","-60m@m",now,"index=wineventlog source IN(""WinEventLog:Microsoft-Windows-Sysmon/Operational"" ""XmlWinEventLog:Microsoft-Windows-Sysmon/Operational"") EventCode=""1""
(CommandLine=""reg query \""HKEY_CURRENT_USER\\Software\\Microsoft\\Terminal Server Client\\Default\"""" OR
CommandLine=""powershell.exe mshta.exe http*"" OR
CommandLine=""cmd.exe /c taskkill /im cmd.exe"")
| stats count by _time host Image CommandLine ParentCommandLine
| sort 0 + _time




``` START
All data below this comment are required for integration with Sentinel for incident creation 
to work properly.
```
| makejson output=result_data_temp        ``` package all results into a single field ```
| strcat result_data_temp "" "" result_data ``` hack to make json immutable ... ```
| fields result_data
| addinfo ``` Get the sid of this search to use as a 'unique' key and reference variable ```
``` FILL OUT DETECTION DETAILS ```
| setfields detection_name = ""DET-1210421-proc_creation_win_apt_babyshark""
| setfields detection_description = ""DET-1210421-proc_creation_win_apt_babyshark""
| setfields severity = ""high"" ``` Valid values: Informational, Low, Medium, High ```
| setfields mitre_tactic = ""DefenseEvasion"" ``` Valid values: https://docs.microsoft.com/en-us/rest/api/securityinsights/stable/incidents/list-of-entities#killchainintent ```
| setfields mitre_technique = """"
``` END ```"
"DET-1210422-proc_creation_win_apt_bear_activity_gtr19",axg3394,"send_to_sentinel",search,"13 * * * *","-60m@m",now,"index=wineventlog source IN(""WinEventLog:Microsoft-Windows-Sysmon/Operational"" ""XmlWinEventLog:Microsoft-Windows-Sysmon/Operational"") EventCode=""1"" 
(Image=""*\\xcopy.exe"" CommandLine=""*/S*"" CommandLine=""*/E*"" CommandLine=""*/C*"" CommandLine=""*/Q*"" CommandLine=""*/H*"" CommandLine=""*\\\\*"") OR (Image=""*\\adexplorer.exe"" CommandLine=""*-snapshot*"" CommandLine=""*\""\""*"" CommandLine=""*c:\\users\\*"")
| stats count by _time host Image CommandLine ParentCommandLine
| sort 0 + _time




``` START
All data below this comment are required for integration with Sentinel for incident creation 
to work properly.
```
| makejson output=result_data_temp        ``` package all results into a single field ```
| strcat result_data_temp "" "" result_data ``` hack to make json immutable ... ```
| fields result_data
| addinfo ``` Get the sid of this search to use as a 'unique' key and reference variable ```
``` FILL OUT DETECTION DETAILS ```
| setfields detection_name = ""DET-1210422-proc_creation_win_apt_bear_activity_gtr19""
| setfields detection_description = ""DET-1210422-proc_creation_win_apt_bear_activity_gtr19""
| setfields severity = ""high"" ``` Valid values: Informational, Low, Medium, High ```
| setfields mitre_tactic = ""CredentialAccess"" ``` Valid values: https://docs.microsoft.com/en-us/rest/api/securityinsights/stable/incidents/list-of-entities#killchainintent ```
| setfields mitre_technique = """"
``` END ```"
"DET-1210423-proc_creation_win_apt_bluemashroom",axg3394,"send_to_sentinel",search,"14 * * * *","-60m@m",now,"index=wineventlog source IN(""WinEventLog:Microsoft-Windows-Sysmon/Operational"" ""XmlWinEventLog:Microsoft-Windows-Sysmon/Operational"") EventCode=""1"" 
(CommandLine=""*\\AppData\\Local\\*"" (CommandLine=""*\\regsvr32*"" OR CommandLine=""*,DllEntry*"")) NOT 
((CommandLine=""*\\AppData\\Local\\Microsoft\\TeamsMeetingAddin\\*"" AND CommandLine=""*\\Microsoft.Teams.AddinLoader.dll*"") OR 
(CommandLine=""*\\appdata\\local\\temp\\bluezone\\*"" AND CommandLine=""*\\x64\\bzwhll.dll*"") OR
(CommandLine=""*\\AppData\\Local\\WebEx\\*"" AND CommandLine=""*\\atucfobj.dll"") OR
(CommandLine=""*\\AppData\\Local\\Programs\\WinSCP\\DragExt64.dll\"""") OR
(CommandLine=""*\\AppData\\Local\\Mozilla Firefox\\*"" AND CommandLine IN(""*\\AccessibleMarshal.dll\"""" ""*\\AccessibleHandler.dll\"""")) OR
(CommandLine=""*\\AppData\\Local\\ExpanDrive\\*"" AND CommandLine IN(""*\\ExpanDriveOverlays_x64.dll"" ""*\\ExpanDriveContextMenus_x64.dll"" ""*\\ExpanDriveOverlays_x64.2.dll"")) OR
(CommandLine=""*\\AppData\\Local\\Gpg4win\\bin_64\\*"" AND CommandLine IN(""*\\gpgex.dll\"""" ""*\\gpgol.dll\"""")) OR
(CommandLine=""*\\AppData\\Local\\Temp\\cbfs5-CTERA_ND2\\i386\\cbfsMntNtf5.dll\"""") OR
(CommandLine=""*\\AppData\\Local\\GoToMeeting\\*"" AND CommandLine=""*\\G2MOutlookAddin64.dll\""""))
| stats count by _time host Image CommandLine ParentCommandLine
| sort 0 + _time



``` START
All data below this comment are required for integration with Sentinel for incident creation 
to work properly.
```
| makejson output=result_data_temp        ``` package all results into a single field ```
| strcat result_data_temp "" "" result_data ``` hack to make json immutable ... ```
| fields result_data
| addinfo ``` Get the sid of this search to use as a 'unique' key and reference variable ```
``` FILL OUT DETECTION DETAILS ```
| setfields detection_name = ""DET-1210423-proc_creation_win_apt_bluemashroom""
| setfields detection_description = ""DET-1210423-proc_creation_win_apt_bluemashroom""
| setfields severity = ""high"" ``` Valid values: Informational, Low, Medium, High ```
| setfields mitre_tactic = ""DefenseEvasion"" ``` Valid values: https://docs.microsoft.com/en-us/rest/api/securityinsights/stable/incidents/list-of-entities#killchainintent ```
| setfields mitre_technique = """"
``` END ```"
"DET-1210425-win_apt_cloudhopper",axg3394,"send_to_sentinel",search,"57 * * * *","-60m@m",now,"index=wineventlog source IN(""WinEventLog:Microsoft-Windows-Sysmon/Operational"" ""XmlWinEventLog:Microsoft-Windows-Sysmon/Operational"") EventCode=""1""
(Image=""*\\cscript.exe"" CommandLine=""*.vbs*"" CommandLine=""*/shell*"")
| stats count by _time host user ParentImage Image CommandLine  



``` START
All data below this comment are required for integration with Sentinel for incident creation 
to work properly.
```
| makejson output=result_data_temp        ``` package all results into a single field ```
| strcat result_data_temp "" "" result_data ``` hack to make json immutable ... ```
| fields result_data
| addinfo ``` Get the sid of this search to use as a 'unique' key and reference variable ```
``` FILL OUT DETECTION DETAILS ```
| setfields detection_name = ""DET-1210425-win_apt_cloudhopper""
| setfields detection_description = ""DET-1210425-win_apt_cloudhopper""
| setfields severity = ""high"" ``` Valid values: Informational, Low, Medium, High ```
| setfields mitre_tactic = ""Execution"" ``` Valid values: https://docs.microsoft.com/en-us/rest/api/securityinsights/stable/incidents/list-of-entities#killchainintent ```
| setfields mitre_technique = """"
``` END ```"
"DET-1210426-proc_creation_win_apt_dragonfly",axg3394,"send_to_sentinel",search,"15 * * * *","-60m@m",now,"index=wineventlog source IN(""WinEventLog:Microsoft-Windows-Sysmon/Operational"" ""XmlWinEventLog:Microsoft-Windows-Sysmon/Operational"") EventCode=""1"" 
Image=""'*\\crackmapexec.exe""
| stats count by _time host Image CommandLine ParentCommandLine
| sort 0 + _time




``` START
All data below this comment are required for integration with Sentinel for incident creation 
to work properly.
```
| makejson output=result_data_temp        ``` package all results into a single field ```
| strcat result_data_temp "" "" result_data ``` hack to make json immutable ... ```
| fields result_data
| addinfo ``` Get the sid of this search to use as a 'unique' key and reference variable ```
``` FILL OUT DETECTION DETAILS ```
| setfields detection_name = ""DET-1210426-proc_creation_win_apt_dragonfly""
| setfields detection_description = ""DET-1210426-proc_creation_win_apt_dragonfly""
| setfields severity = ""high"" ``` Valid values: Informational, Low, Medium, High ```
| setfields mitre_tactic = ""CredentialAccess"" ``` Valid values: https://docs.microsoft.com/en-us/rest/api/securityinsights/stable/incidents/list-of-entities#killchainintent ```
| setfields mitre_technique = """"
``` END ```"
"DET-1210427-proc_creation_win_apt_elise",axg3394,"send_to_sentinel",search,"16 * * * *","-60m@m",now,"index=wineventlog source IN(""WinEventLog:Microsoft-Windows-Sysmon/Operational"" ""XmlWinEventLog:Microsoft-Windows-Sysmon/Operational"") EventCode=""1"" 
(Image=""C:\\Windows\\SysWOW64\\cmd.exe"" AND CommandLine=""*\\Windows\\Caches\\NavShExt.dll*"") OR (CommandLine=""*\\AppData\\Roaming\\MICROS~1\\Windows\\Caches\\NavShExt.dll,Setting"")
| stats count by _time host Image CommandLine ParentCommandLine
| sort 0 + _time



``` START
All data below this comment are required for integration with Sentinel for incident creation 
to work properly.
```
| makejson output=result_data_temp        ``` package all results into a single field ```
| strcat result_data_temp "" "" result_data ``` hack to make json immutable ... ```
| fields result_data
| addinfo ``` Get the sid of this search to use as a 'unique' key and reference variable ```
``` FILL OUT DETECTION DETAILS ```
| setfields detection_name = ""DET-1210427-proc_creation_win_apt_elise""
| setfields detection_description = ""DET-1210427-proc_creation_win_apt_elise""
| setfields severity = ""high"" ``` Valid values: Informational, Low, Medium, High ```
| setfields mitre_tactic = ""Execution"" ``` Valid values: https://docs.microsoft.com/en-us/rest/api/securityinsights/stable/incidents/list-of-entities#killchainintent ```
| setfields mitre_technique = """"
``` END ```"
"DET-1210428-win_apt_emissarypanda_sep19",axg3394,"send_to_sentinel",search,"47 * * * *","-60m@m",now,"index=wineventlog source IN(""WinEventLog:Microsoft-Windows-Sysmon/Operational"" ""XmlWinEventLog:Microsoft-Windows-Sysmon/Operational"") EventCode=""1"" Image=""*\\svchost.exe"" ParentImage=""*\\sllauncher.exe""
| stats count by _time host user ParentImage ParentCommandLine Image CommandLine

``` START
All data below this comment are required for integration with Sentinel for incident creation 
to work properly.
```
| makejson output=result_data_temp        ``` package all results into a single field ```
| strcat result_data_temp "" "" result_data ``` hack to make json immutable ... ```
| fields result_data
| addinfo ``` Get the sid of this search to use as a 'unique' key and reference variable ```
``` FILL OUT DETECTION DETAILS ```
| setfields detection_name = ""DET-1210428-win_apt_emissarypanda_sep19""
| setfields detection_description = ""DET-1210428-win_apt_emissarypanda_sep19""
| setfields severity = ""high"" ``` Valid values: Informational, Low, Medium, High ```
| setfields mitre_tactic = ""DefenseEvasion"" ``` Valid values: https://docs.microsoft.com/en-us/rest/api/securityinsights/stable/incidents/list-of-entities#killchainintent ```
| setfields mitre_technique = """"
``` END ```"
"DET-1210429-proc_creation_win_apt_empiremonkey",axg3394,"send_to_sentinel",search,"17 * * * *","-60m@m",now,"index=wineventlog source IN(""WinEventLog:Microsoft-Windows-Sysmon/Operational"" ""XmlWinEventLog:Microsoft-Windows-Sysmon/Operational"") EventCode=""1"" 
CommandLine=""*/i:%APPDATA%\\logs.txt scrobj.dll"" AND (Image=""*\\cutil.exe"" OR Description=""Microsoft(C) Registerserver"")
| stats count by _time host Image CommandLine ParentCommandLine
| sort 0 + _time




``` START
All data below this comment are required for integration with Sentinel for incident creation 
to work properly.
```
| makejson output=result_data_temp        ``` package all results into a single field ```
| strcat result_data_temp "" "" result_data ``` hack to make json immutable ... ```
| fields result_data
| addinfo ``` Get the sid of this search to use as a 'unique' key and reference variable ```
``` FILL OUT DETECTION DETAILS ```
| setfields detection_name = ""DET-1210429-proc_creation_win_apt_empiremonkey""
| setfields detection_description = ""DET-1210429-proc_creation_win_apt_empiremonkey""
| setfields severity = ""high"" ``` Valid values: Informational, Low, Medium, High ```
| setfields mitre_tactic = ""DefenseEvasion"" ``` Valid values: https://docs.microsoft.com/en-us/rest/api/securityinsights/stable/incidents/list-of-entities#killchainintent ```
| setfields mitre_technique = """"
``` END ```"
