index,sourcetype,"_time",count
wineventlog,WinHostMon,"2022-06-20T00:00:00.000-0400",330
wineventlog,WinHostMon,"2022-06-20T00:30:00.000-0400",330
wineventlog,WinHostMon,"2022-06-20T01:00:00.000-0400",330
wineventlog,WinHostMon,"2022-06-20T01:30:00.000-0400",330
wineventlog,WinHostMon,"2022-06-20T02:00:00.000-0400",329
wineventlog,WinHostMon,"2022-06-20T02:30:00.000-0400",331
wineventlog,WinHostMon,"2022-06-20T03:00:00.000-0400",333
wineventlog,WinHostMon,"2022-06-20T03:30:00.000-0400",333
wineventlog,WinHostMon,"2022-06-20T04:00:00.000-0400",332
wineventlog,WinHostMon,"2022-06-20T04:30:00.000-0400",335
wineventlog,WinHostMon,"2022-06-20T05:00:00.000-0400",336
wineventlog,WinHostMon,"2022-06-20T05:30:00.000-0400",338
wineventlog,WinHostMon,"2022-06-20T06:00:00.000-0400",339
wineventlog,WinHostMon,"2022-06-20T06:30:00.000-0400",339
wineventlog,WinHostMon,"2022-06-20T07:00:00.000-0400",342
wineventlog,WinHostMon,"2022-06-20T07:30:00.000-0400",341
wineventlog,WinHostMon,"2022-06-20T08:00:00.000-0400",339
wineventlog,WinHostMon,"2022-06-20T08:30:00.000-0400",342
wineventlog,WinHostMon,"2022-06-20T09:00:00.000-0400",342
wineventlog,WinHostMon,"2022-06-20T09:30:00.000-0400",346
wineventlog,WinHostMon,"2022-06-20T10:00:00.000-0400",345
wineventlog,WinHostMon,"2022-06-20T10:30:00.000-0400",346
wineventlog,WinHostMon,"2022-06-20T11:00:00.000-0400",301
wineventlog,WinHostMon,"2022-06-20T11:30:00.000-0400",348
