index,sourcetype,"_time",count
msad,ActiveDirectory,"2022-06-20T00:00:00.000-0400",20220
msad,ActiveDirectory,"2022-06-20T00:30:00.000-0400",21173
msad,ActiveDirectory,"2022-06-20T01:00:00.000-0400",29915
msad,ActiveDirectory,"2022-06-20T01:30:00.000-0400",23173
msad,ActiveDirectory,"2022-06-20T02:00:00.000-0400",21318
msad,ActiveDirectory,"2022-06-20T02:30:00.000-0400",22558
msad,ActiveDirectory,"2022-06-20T03:00:00.000-0400",26300
msad,ActiveDirectory,"2022-06-20T03:30:00.000-0400",20833
msad,ActiveDirectory,"2022-06-20T04:00:00.000-0400",20675
msad,ActiveDirectory,"2022-06-20T04:30:00.000-0400",23536
msad,ActiveDirectory,"2022-06-20T05:00:00.000-0400",38910
msad,ActiveDirectory,"2022-06-20T05:30:00.000-0400",48144
msad,ActiveDirectory,"2022-06-20T06:00:00.000-0400",66991
msad,ActiveDirectory,"2022-06-20T06:30:00.000-0400",97026
msad,ActiveDirectory,"2022-06-20T07:00:00.000-0400",148285
msad,ActiveDirectory,"2022-06-20T07:30:00.000-0400",138373
msad,ActiveDirectory,"2022-06-20T08:00:00.000-0400",136238
msad,ActiveDirectory,"2022-06-20T08:30:00.000-0400",114534
msad,ActiveDirectory,"2022-06-20T09:00:00.000-0400",102333
msad,ActiveDirectory,"2022-06-20T09:30:00.000-0400",88729
msad,ActiveDirectory,"2022-06-20T10:00:00.000-0400",98572
msad,ActiveDirectory,"2022-06-20T10:30:00.000-0400",69117
msad,ActiveDirectory,"2022-06-20T11:00:00.000-0400",46341
msad,ActiveDirectory,"2022-06-20T11:30:00.000-0400",53772
