index,sourcetype,"_time",count
msad,"MSAD:NT6:Health","2022-06-20T00:00:00.000-0400",2140
msad,"MSAD:NT6:Health","2022-06-20T00:30:00.000-0400",2162
msad,"MSAD:NT6:Health","2022-06-20T01:00:00.000-0400",2140
msad,"MSAD:NT6:Health","2022-06-20T01:30:00.000-0400",2137
msad,"MSAD:NT6:Health","2022-06-20T02:00:00.000-0400",2125
msad,"MSAD:NT6:Health","2022-06-20T02:30:00.000-0400",2138
msad,"MSAD:NT6:Health","2022-06-20T03:00:00.000-0400",2110
msad,"MSAD:NT6:Health","2022-06-20T03:30:00.000-0400",2132
msad,"MSAD:NT6:Health","2022-06-20T04:00:00.000-0400",2139
msad,"MSAD:NT6:Health","2022-06-20T04:30:00.000-0400",2152
msad,"MSAD:NT6:Health","2022-06-20T05:00:00.000-0400",2143
msad,"MSAD:NT6:Health","2022-06-20T05:30:00.000-0400",2130
msad,"MSAD:NT6:Health","2022-06-20T06:00:00.000-0400",2124
msad,"MSAD:NT6:Health","2022-06-20T06:30:00.000-0400",2138
msad,"MSAD:NT6:Health","2022-06-20T07:00:00.000-0400",2140
msad,"MSAD:NT6:Health","2022-06-20T07:30:00.000-0400",2159
msad,"MSAD:NT6:Health","2022-06-20T08:00:00.000-0400",2142
msad,"MSAD:NT6:Health","2022-06-20T08:30:00.000-0400",2151
msad,"MSAD:NT6:Health","2022-06-20T09:00:00.000-0400",2137
msad,"MSAD:NT6:Health","2022-06-20T09:30:00.000-0400",2134
msad,"MSAD:NT6:Health","2022-06-20T10:00:00.000-0400",2132
msad,"MSAD:NT6:Health","2022-06-20T10:30:00.000-0400",2158
msad,"MSAD:NT6:Health","2022-06-20T11:00:00.000-0400",1932
msad,"MSAD:NT6:Health","2022-06-20T11:30:00.000-0400",2147
