index,sourcetype,"_time",count
msad,"Powershell:ScriptExecutionErrorRecord","2022-06-20T00:00:00.000-0400",2651
msad,"Powershell:ScriptExecutionErrorRecord","2022-06-20T00:30:00.000-0400",2404
msad,"Powershell:ScriptExecutionErrorRecord","2022-06-20T01:00:00.000-0400",2647
msad,"Powershell:ScriptExecutionErrorRecord","2022-06-20T01:30:00.000-0400",2429
msad,"Powershell:ScriptExecutionErrorRecord","2022-06-20T02:00:00.000-0400",2668
msad,"Powershell:ScriptExecutionErrorRecord","2022-06-20T02:30:00.000-0400",2428
msad,"Powershell:ScriptExecutionErrorRecord","2022-06-20T03:00:00.000-0400",2685
msad,"Powershell:ScriptExecutionErrorRecord","2022-06-20T03:30:00.000-0400",2433
msad,"Powershell:ScriptExecutionErrorRecord","2022-06-20T04:00:00.000-0400",2655
msad,"Powershell:ScriptExecutionErrorRecord","2022-06-20T04:30:00.000-0400",2414
msad,"Powershell:ScriptExecutionErrorRecord","2022-06-20T05:00:00.000-0400",2646
msad,"Powershell:ScriptExecutionErrorRecord","2022-06-20T05:30:00.000-0400",2438
msad,"Powershell:ScriptExecutionErrorRecord","2022-06-20T06:00:00.000-0400",2670
msad,"Powershell:ScriptExecutionErrorRecord","2022-06-20T06:30:00.000-0400",2428
msad,"Powershell:ScriptExecutionErrorRecord","2022-06-20T07:00:00.000-0400",2657
msad,"Powershell:ScriptExecutionErrorRecord","2022-06-20T07:30:00.000-0400",2415
msad,"Powershell:ScriptExecutionErrorRecord","2022-06-20T08:00:00.000-0400",2647
msad,"Powershell:ScriptExecutionErrorRecord","2022-06-20T08:30:00.000-0400",2403
msad,"Powershell:ScriptExecutionErrorRecord","2022-06-20T09:00:00.000-0400",2634
msad,"Powershell:ScriptExecutionErrorRecord","2022-06-20T09:30:00.000-0400",2414
msad,"Powershell:ScriptExecutionErrorRecord","2022-06-20T10:00:00.000-0400",2635
msad,"Powershell:ScriptExecutionErrorRecord","2022-06-20T10:30:00.000-0400",2391
msad,"Powershell:ScriptExecutionErrorRecord","2022-06-20T11:00:00.000-0400",2642
msad,"Powershell:ScriptExecutionErrorRecord","2022-06-20T11:30:00.000-0400",2401
