index,sourcetype,"_time",count
msad,"Powershell:ScriptExecutionSummary","2022-06-20T00:00:00.000-0400",3124
msad,"Powershell:ScriptExecutionSummary","2022-06-20T00:30:00.000-0400",2880
msad,"Powershell:ScriptExecutionSummary","2022-06-20T01:00:00.000-0400",3121
msad,"Powershell:ScriptExecutionSummary","2022-06-20T01:30:00.000-0400",2880
msad,"Powershell:ScriptExecutionSummary","2022-06-20T02:00:00.000-0400",3121
msad,"Powershell:ScriptExecutionSummary","2022-06-20T02:30:00.000-0400",2880
msad,"Powershell:ScriptExecutionSummary","2022-06-20T03:00:00.000-0400",3121
msad,"Powershell:ScriptExecutionSummary","2022-06-20T03:30:00.000-0400",2880
msad,"Powershell:ScriptExecutionSummary","2022-06-20T04:00:00.000-0400",3121
msad,"Powershell:ScriptExecutionSummary","2022-06-20T04:30:00.000-0400",2880
msad,"Powershell:ScriptExecutionSummary","2022-06-20T05:00:00.000-0400",3121
msad,"Powershell:ScriptExecutionSummary","2022-06-20T05:30:00.000-0400",2882
msad,"Powershell:ScriptExecutionSummary","2022-06-20T06:00:00.000-0400",3122
msad,"Powershell:ScriptExecutionSummary","2022-06-20T06:30:00.000-0400",2880
msad,"Powershell:ScriptExecutionSummary","2022-06-20T07:00:00.000-0400",3127
msad,"Powershell:ScriptExecutionSummary","2022-06-20T07:30:00.000-0400",2884
msad,"Powershell:ScriptExecutionSummary","2022-06-20T08:00:00.000-0400",3124
msad,"Powershell:ScriptExecutionSummary","2022-06-20T08:30:00.000-0400",2872
msad,"Powershell:ScriptExecutionSummary","2022-06-20T09:00:00.000-0400",3109
msad,"Powershell:ScriptExecutionSummary","2022-06-20T09:30:00.000-0400",2868
msad,"Powershell:ScriptExecutionSummary","2022-06-20T10:00:00.000-0400",3108
msad,"Powershell:ScriptExecutionSummary","2022-06-20T10:30:00.000-0400",2872
msad,"Powershell:ScriptExecutionSummary","2022-06-20T11:00:00.000-0400",3111
msad,"Powershell:ScriptExecutionSummary","2022-06-20T11:30:00.000-0400",2868
