index,sourcetype,"_time",count
msad,"MSAD:NT6:Replication","2022-06-20T00:00:00.000-0400",74022
msad,"MSAD:NT6:Replication","2022-06-20T00:30:00.000-0400",74085
msad,"MSAD:NT6:Replication","2022-06-20T01:00:00.000-0400",74201
msad,"MSAD:NT6:Replication","2022-06-20T01:30:00.000-0400",74318
msad,"MSAD:NT6:Replication","2022-06-20T02:00:00.000-0400",74273
msad,"MSAD:NT6:Replication","2022-06-20T02:30:00.000-0400",74266
msad,"MSAD:NT6:Replication","2022-06-20T03:00:00.000-0400",74175
msad,"MSAD:NT6:Replication","2022-06-20T03:30:00.000-0400",74369
msad,"MSAD:NT6:Replication","2022-06-20T04:00:00.000-0400",74218
msad,"MSAD:NT6:Replication","2022-06-20T04:30:00.000-0400",74406
msad,"MSAD:NT6:Replication","2022-06-20T05:00:00.000-0400",74456
msad,"MSAD:NT6:Replication","2022-06-20T05:30:00.000-0400",74398
msad,"MSAD:NT6:Replication","2022-06-20T06:00:00.000-0400",74506
msad,"MSAD:NT6:Replication","2022-06-20T06:30:00.000-0400",74390
msad,"MSAD:NT6:Replication","2022-06-20T07:00:00.000-0400",74306
msad,"MSAD:NT6:Replication","2022-06-20T07:30:00.000-0400",74372
msad,"MSAD:NT6:Replication","2022-06-20T08:00:00.000-0400",74341
msad,"MSAD:NT6:Replication","2022-06-20T08:30:00.000-0400",74109
msad,"MSAD:NT6:Replication","2022-06-20T09:00:00.000-0400",74184
msad,"MSAD:NT6:Replication","2022-06-20T09:30:00.000-0400",74372
msad,"MSAD:NT6:Replication","2022-06-20T10:00:00.000-0400",74215
msad,"MSAD:NT6:Replication","2022-06-20T10:30:00.000-0400",73757
msad,"MSAD:NT6:Replication","2022-06-20T11:00:00.000-0400",65705
msad,"MSAD:NT6:Replication","2022-06-20T11:30:00.000-0400",74373
