index,sourcetype,"_time",count
msad,"MSAD:NT6:SiteInfo","2022-06-20T00:00:00.000-0400",155339
msad,"MSAD:NT6:SiteInfo","2022-06-20T00:30:00.000-0400",94752
msad,"MSAD:NT6:SiteInfo","2022-06-20T01:00:00.000-0400",155198
msad,"MSAD:NT6:SiteInfo","2022-06-20T01:30:00.000-0400",94752
msad,"MSAD:NT6:SiteInfo","2022-06-20T02:00:00.000-0400",155044
msad,"MSAD:NT6:SiteInfo","2022-06-20T02:30:00.000-0400",94752
msad,"MSAD:NT6:SiteInfo","2022-06-20T03:00:00.000-0400",151664
msad,"MSAD:NT6:SiteInfo","2022-06-20T03:30:00.000-0400",94752
msad,"MSAD:NT6:SiteInfo","2022-06-20T04:00:00.000-0400",151523
msad,"MSAD:NT6:SiteInfo","2022-06-20T04:30:00.000-0400",94752
msad,"MSAD:NT6:SiteInfo","2022-06-20T05:00:00.000-0400",151655
msad,"MSAD:NT6:SiteInfo","2022-06-20T05:30:00.000-0400",94752
msad,"MSAD:NT6:SiteInfo","2022-06-20T06:00:00.000-0400",155040
msad,"MSAD:NT6:SiteInfo","2022-06-20T06:30:00.000-0400",94752
msad,"MSAD:NT6:SiteInfo","2022-06-20T07:00:00.000-0400",155574
msad,"MSAD:NT6:SiteInfo","2022-06-20T07:30:00.000-0400",94502
msad,"MSAD:NT6:SiteInfo","2022-06-20T08:00:00.000-0400",155624
msad,"MSAD:NT6:SiteInfo","2022-06-20T08:30:00.000-0400",94502
msad,"MSAD:NT6:SiteInfo","2022-06-20T09:00:00.000-0400",152038
msad,"MSAD:NT6:SiteInfo","2022-06-20T09:30:00.000-0400",94499
msad,"MSAD:NT6:SiteInfo","2022-06-20T10:00:00.000-0400",155349
msad,"MSAD:NT6:SiteInfo","2022-06-20T10:30:00.000-0400",94499
msad,"MSAD:NT6:SiteInfo","2022-06-20T11:00:00.000-0400",155514
msad,"MSAD:NT6:SiteInfo","2022-06-20T11:30:00.000-0400",94499
