index,sourcetype,"_time",count
proofpoint,"pps_maillog","2022-06-20T00:00:00.000-0400",25899
proofpoint,"pps_maillog","2022-06-20T00:30:00.000-0400",17429
proofpoint,"pps_maillog","2022-06-20T01:00:00.000-0400",21504
proofpoint,"pps_maillog","2022-06-20T01:30:00.000-0400",20140
proofpoint,"pps_maillog","2022-06-20T02:00:00.000-0400",25352
proofpoint,"pps_maillog","2022-06-20T02:30:00.000-0400",22412
proofpoint,"pps_maillog","2022-06-20T03:00:00.000-0400",41079
proofpoint,"pps_maillog","2022-06-20T03:30:00.000-0400",28490
proofpoint,"pps_maillog","2022-06-20T04:00:00.000-0400",24755
proofpoint,"pps_maillog","2022-06-20T04:30:00.000-0400",27453
proofpoint,"pps_maillog","2022-06-20T05:00:00.000-0400",34029
proofpoint,"pps_maillog","2022-06-20T05:30:00.000-0400",33134
proofpoint,"pps_maillog","2022-06-20T06:00:00.000-0400",49480
proofpoint,"pps_maillog","2022-06-20T06:30:00.000-0400",58941
proofpoint,"pps_maillog","2022-06-20T07:00:00.000-0400",92619
proofpoint,"pps_maillog","2022-06-20T07:30:00.000-0400",100208
proofpoint,"pps_maillog","2022-06-20T08:00:00.000-0400",184078
proofpoint,"pps_maillog","2022-06-20T08:30:00.000-0400",125309
proofpoint,"pps_maillog","2022-06-20T09:00:00.000-0400",172828
proofpoint,"pps_maillog","2022-06-20T09:30:00.000-0400",114924
proofpoint,"pps_maillog","2022-06-20T10:00:00.000-0400",161156
proofpoint,"pps_maillog","2022-06-20T10:30:00.000-0400",106254
proofpoint,"pps_maillog","2022-06-20T11:00:00.000-0400",120551
proofpoint,"pps_maillog","2022-06-20T11:30:00.000-0400",163484
