index,sourcetype,"_time",count
proofpoint,"pps_messagelog","2022-06-20T00:00:00.000-0400",11910
proofpoint,"pps_messagelog","2022-06-20T00:30:00.000-0400",7794
proofpoint,"pps_messagelog","2022-06-20T01:00:00.000-0400",9938
proofpoint,"pps_messagelog","2022-06-20T01:30:00.000-0400",9786
proofpoint,"pps_messagelog","2022-06-20T02:00:00.000-0400",13481
proofpoint,"pps_messagelog","2022-06-20T02:30:00.000-0400",11480
proofpoint,"pps_messagelog","2022-06-20T03:00:00.000-0400",20261
proofpoint,"pps_messagelog","2022-06-20T03:30:00.000-0400",13484
proofpoint,"pps_messagelog","2022-06-20T04:00:00.000-0400",11566
proofpoint,"pps_messagelog","2022-06-20T04:30:00.000-0400",12982
proofpoint,"pps_messagelog","2022-06-20T05:00:00.000-0400",16669
proofpoint,"pps_messagelog","2022-06-20T05:30:00.000-0400",16307
proofpoint,"pps_messagelog","2022-06-20T06:00:00.000-0400",25240
proofpoint,"pps_messagelog","2022-06-20T06:30:00.000-0400",30116
proofpoint,"pps_messagelog","2022-06-20T07:00:00.000-0400",47945
proofpoint,"pps_messagelog","2022-06-20T07:30:00.000-0400",51767
proofpoint,"pps_messagelog","2022-06-20T08:00:00.000-0400",97489
proofpoint,"pps_messagelog","2022-06-20T08:30:00.000-0400",64059
proofpoint,"pps_messagelog","2022-06-20T09:00:00.000-0400",83819
proofpoint,"pps_messagelog","2022-06-20T09:30:00.000-0400",58471
proofpoint,"pps_messagelog","2022-06-20T10:00:00.000-0400",83483
proofpoint,"pps_messagelog","2022-06-20T10:30:00.000-0400",54857
proofpoint,"pps_messagelog","2022-06-20T11:00:00.000-0400",42604
proofpoint,"pps_messagelog","2022-06-20T11:30:00.000-0400",84262
