index,sourcetype,"_time",count
wineventlog,"WinEventLog:TITUS/Operational","2022-06-20T00:00:00.000-0400",14840
wineventlog,"WinEventLog:TITUS/Operational","2022-06-20T00:30:00.000-0400",19055
wineventlog,"WinEventLog:TITUS/Operational","2022-06-20T01:00:00.000-0400",14205
wineventlog,"WinEventLog:TITUS/Operational","2022-06-20T01:30:00.000-0400",11217
wineventlog,"WinEventLog:TITUS/Operational","2022-06-20T02:00:00.000-0400",18119
wineventlog,"WinEventLog:TITUS/Operational","2022-06-20T02:30:00.000-0400",13671
wineventlog,"WinEventLog:TITUS/Operational","2022-06-20T03:00:00.000-0400",14502
wineventlog,"WinEventLog:TITUS/Operational","2022-06-20T03:30:00.000-0400",11494
wineventlog,"WinEventLog:TITUS/Operational","2022-06-20T04:00:00.000-0400",14858
wineventlog,"WinEventLog:TITUS/Operational","2022-06-20T04:30:00.000-0400",22231
wineventlog,"WinEventLog:TITUS/Operational","2022-06-20T05:00:00.000-0400",51261
wineventlog,"WinEventLog:TITUS/Operational","2022-06-20T05:30:00.000-0400",45490
wineventlog,"WinEventLog:TITUS/Operational","2022-06-20T06:00:00.000-0400",118058
wineventlog,"WinEventLog:TITUS/Operational","2022-06-20T06:30:00.000-0400",131856
wineventlog,"WinEventLog:TITUS/Operational","2022-06-20T07:00:00.000-0400",238435
wineventlog,"WinEventLog:TITUS/Operational","2022-06-20T07:30:00.000-0400",203932
wineventlog,"WinEventLog:TITUS/Operational","2022-06-20T08:00:00.000-0400",187866
wineventlog,"WinEventLog:TITUS/Operational","2022-06-20T08:30:00.000-0400",191633
wineventlog,"WinEventLog:TITUS/Operational","2022-06-20T09:00:00.000-0400",182555
wineventlog,"WinEventLog:TITUS/Operational","2022-06-20T09:30:00.000-0400",110870
wineventlog,"WinEventLog:TITUS/Operational","2022-06-20T10:00:00.000-0400",137598
wineventlog,"WinEventLog:TITUS/Operational","2022-06-20T10:30:00.000-0400",134764
wineventlog,"WinEventLog:TITUS/Operational","2022-06-20T11:00:00.000-0400",131783
wineventlog,"WinEventLog:TITUS/Operational","2022-06-20T11:30:00.000-0400",96157
