index,sourcetype,"_time",count
wineventlog,"WinEventLog:AD FS/Admin","2022-06-20T00:00:00.000-0400",129
wineventlog,"WinEventLog:AD FS/Admin","2022-06-20T00:30:00.000-0400",123
wineventlog,"WinEventLog:AD FS/Admin","2022-06-20T01:00:00.000-0400",124
wineventlog,"WinEventLog:AD FS/Admin","2022-06-20T01:30:00.000-0400",120
wineventlog,"WinEventLog:AD FS/Admin","2022-06-20T02:00:00.000-0400",120
wineventlog,"WinEventLog:AD FS/Admin","2022-06-20T02:30:00.000-0400",121
wineventlog,"WinEventLog:AD FS/Admin","2022-06-20T03:00:00.000-0400",120
wineventlog,"WinEventLog:AD FS/Admin","2022-06-20T03:30:00.000-0400",120
wineventlog,"WinEventLog:AD FS/Admin","2022-06-20T04:00:00.000-0400",123
wineventlog,"WinEventLog:AD FS/Admin","2022-06-20T04:30:00.000-0400",120
wineventlog,"WinEventLog:AD FS/Admin","2022-06-20T05:00:00.000-0400",120
wineventlog,"WinEventLog:AD FS/Admin","2022-06-20T05:30:00.000-0400",122
wineventlog,"WinEventLog:AD FS/Admin","2022-06-20T06:00:00.000-0400",120
wineventlog,"WinEventLog:AD FS/Admin","2022-06-20T06:30:00.000-0400",144
wineventlog,"WinEventLog:AD FS/Admin","2022-06-20T07:00:00.000-0400",127
wineventlog,"WinEventLog:AD FS/Admin","2022-06-20T07:30:00.000-0400",119
wineventlog,"WinEventLog:AD FS/Admin","2022-06-20T08:00:00.000-0400",138
wineventlog,"WinEventLog:AD FS/Admin","2022-06-20T08:30:00.000-0400",132
wineventlog,"WinEventLog:AD FS/Admin","2022-06-20T09:00:00.000-0400",132
wineventlog,"WinEventLog:AD FS/Admin","2022-06-20T09:30:00.000-0400",120
wineventlog,"WinEventLog:AD FS/Admin","2022-06-20T10:00:00.000-0400",156
wineventlog,"WinEventLog:AD FS/Admin","2022-06-20T10:30:00.000-0400",224
wineventlog,"WinEventLog:AD FS/Admin","2022-06-20T11:00:00.000-0400",147
wineventlog,"WinEventLog:AD FS/Admin","2022-06-20T11:30:00.000-0400",196
