index,sourcetype,"_time",count
wineventlog,WinHostMon,"2022-06-28T09:00:00.000-0400",357
wineventlog,WinHostMon,"2022-06-28T09:30:00.000-0400",356
wineventlog,WinHostMon,"2022-06-28T10:00:00.000-0400",355
wineventlog,WinHostMon,"2022-06-28T10:30:00.000-0400",354
wineventlog,WinHostMon,"2022-06-28T11:00:00.000-0400",349
wineventlog,WinHostMon,"2022-06-28T11:30:00.000-0400",350
wineventlog,WinHostMon,"2022-06-28T12:00:00.000-0400",350
wineventlog,WinHostMon,"2022-06-28T12:30:00.000-0400",351
wineventlog,WinHostMon,"2022-06-28T13:00:00.000-0400",349
wineventlog,WinHostMon,"2022-06-28T13:30:00.000-0400",349
wineventlog,WinHostMon,"2022-06-28T14:00:00.000-0400",348
wineventlog,WinHostMon,"2022-06-28T14:30:00.000-0400",344
wineventlog,WinHostMon,"2022-06-28T15:00:00.000-0400",343
wineventlog,WinHostMon,"2022-06-28T15:30:00.000-0400",342
wineventlog,WinHostMon,"2022-06-28T16:00:00.000-0400",337
wineventlog,WinHostMon,"2022-06-28T16:30:00.000-0400",335
wineventlog,WinHostMon,"2022-06-28T17:00:00.000-0400",337
wineventlog,WinHostMon,"2022-06-28T17:30:00.000-0400",335
wineventlog,WinHostMon,"2022-06-28T18:00:00.000-0400",342
wineventlog,WinHostMon,"2022-06-28T18:30:00.000-0400",334
wineventlog,WinHostMon,"2022-06-28T19:00:00.000-0400",340
wineventlog,WinHostMon,"2022-06-28T19:30:00.000-0400",339
wineventlog,WinHostMon,"2022-06-28T20:00:00.000-0400",341
wineventlog,WinHostMon,"2022-06-28T20:30:00.000-0400",342
wineventlog,WinHostMon,"2022-06-28T21:00:00.000-0400",338
wineventlog,WinHostMon,"2022-06-28T21:30:00.000-0400",343
wineventlog,WinHostMon,"2022-06-28T22:00:00.000-0400",337
wineventlog,WinHostMon,"2022-06-28T22:30:00.000-0400",331
wineventlog,WinHostMon,"2022-06-28T23:00:00.000-0400",344
wineventlog,WinHostMon,"2022-06-28T23:30:00.000-0400",330
wineventlog,WinHostMon,"2022-06-29T00:00:00.000-0400",332
wineventlog,WinHostMon,"2022-06-29T00:30:00.000-0400",327
wineventlog,WinHostMon,"2022-06-29T01:00:00.000-0400",327
wineventlog,WinHostMon,"2022-06-29T01:30:00.000-0400",327
wineventlog,WinHostMon,"2022-06-29T02:00:00.000-0400",326
wineventlog,WinHostMon,"2022-06-29T02:30:00.000-0400",328
wineventlog,WinHostMon,"2022-06-29T03:00:00.000-0400",326
wineventlog,WinHostMon,"2022-06-29T03:30:00.000-0400",330
wineventlog,WinHostMon,"2022-06-29T04:00:00.000-0400",329
wineventlog,WinHostMon,"2022-06-29T04:30:00.000-0400",334
wineventlog,WinHostMon,"2022-06-29T05:00:00.000-0400",334
wineventlog,WinHostMon,"2022-06-29T05:30:00.000-0400",333
wineventlog,WinHostMon,"2022-06-29T06:00:00.000-0400",335
wineventlog,WinHostMon,"2022-06-29T06:30:00.000-0400",335
wineventlog,WinHostMon,"2022-06-29T07:00:00.000-0400",342
wineventlog,WinHostMon,"2022-06-29T07:30:00.000-0400",340
wineventlog,WinHostMon,"2022-06-29T08:00:00.000-0400",341
wineventlog,WinHostMon,"2022-06-29T08:30:00.000-0400",348
wineventlog,WinHostMon,"2022-06-29T09:00:00.000-0400",295
