index,sourcetype,"_time",count
zscaler,"zscalernss-web","2022-06-20T00:00:00.000-0400",5961967
zscaler,"zscalernss-web","2022-06-20T00:30:00.000-0400",6044761
zscaler,"zscalernss-web","2022-06-20T01:00:00.000-0400",6184980
zscaler,"zscalernss-web","2022-06-20T01:30:00.000-0400",6191797
zscaler,"zscalernss-web","2022-06-20T02:00:00.000-0400",6459728
zscaler,"zscalernss-web","2022-06-20T02:30:00.000-0400",6422760
zscaler,"zscalernss-web","2022-06-20T03:00:00.000-0400",6675728
zscaler,"zscalernss-web","2022-06-20T03:30:00.000-0400",6686245
zscaler,"zscalernss-web","2022-06-20T04:00:00.000-0400",6805802
zscaler,"zscalernss-web","2022-06-20T04:30:00.000-0400",7216744
zscaler,"zscalernss-web","2022-06-20T05:00:00.000-0400",8537861
zscaler,"zscalernss-web","2022-06-20T05:30:00.000-0400",9369783
zscaler,"zscalernss-web","2022-06-20T06:00:00.000-0400",11855975
zscaler,"zscalernss-web","2022-06-20T06:30:00.000-0400",15447223
zscaler,"zscalernss-web","2022-06-20T07:00:00.000-0400",21177502
zscaler,"zscalernss-web","2022-06-20T07:30:00.000-0400",22824927
zscaler,"zscalernss-web","2022-06-20T08:00:00.000-0400",24379994
zscaler,"zscalernss-web","2022-06-20T08:30:00.000-0400",22861972
zscaler,"zscalernss-web","2022-06-20T09:00:00.000-0400",22689831
zscaler,"zscalernss-web","2022-06-20T09:30:00.000-0400",23139607
zscaler,"zscalernss-web","2022-06-20T10:00:00.000-0400",22546955
zscaler,"zscalernss-web","2022-06-20T10:30:00.000-0400",21642949
zscaler,"zscalernss-web","2022-06-20T11:00:00.000-0400",20845103
zscaler,"zscalernss-web","2022-06-20T11:30:00.000-0400",20415710
