index,sourcetype,"_time",count
zscaler,"zscalernss-web:HGB","2022-06-20T00:00:00.000-0400",72064
zscaler,"zscalernss-web:HGB","2022-06-20T00:30:00.000-0400",63181
zscaler,"zscalernss-web:HGB","2022-06-20T01:00:00.000-0400",59929
zscaler,"zscalernss-web:HGB","2022-06-20T01:30:00.000-0400",59466
zscaler,"zscalernss-web:HGB","2022-06-20T02:00:00.000-0400",58961
zscaler,"zscalernss-web:HGB","2022-06-20T02:30:00.000-0400",57854
zscaler,"zscalernss-web:HGB","2022-06-20T03:00:00.000-0400",61747
zscaler,"zscalernss-web:HGB","2022-06-20T03:30:00.000-0400",63845
zscaler,"zscalernss-web:HGB","2022-06-20T04:00:00.000-0400",63151
zscaler,"zscalernss-web:HGB","2022-06-20T04:30:00.000-0400",71072
zscaler,"zscalernss-web:HGB","2022-06-20T05:00:00.000-0400",100168
zscaler,"zscalernss-web:HGB","2022-06-20T05:30:00.000-0400",105316
zscaler,"zscalernss-web:HGB","2022-06-20T06:00:00.000-0400",141809
zscaler,"zscalernss-web:HGB","2022-06-20T06:30:00.000-0400",201845
zscaler,"zscalernss-web:HGB","2022-06-20T07:00:00.000-0400",274165
zscaler,"zscalernss-web:HGB","2022-06-20T07:30:00.000-0400",251402
zscaler,"zscalernss-web:HGB","2022-06-20T08:00:00.000-0400",243822
zscaler,"zscalernss-web:HGB","2022-06-20T08:30:00.000-0400",249300
zscaler,"zscalernss-web:HGB","2022-06-20T09:00:00.000-0400",220926
zscaler,"zscalernss-web:HGB","2022-06-20T09:30:00.000-0400",224660
zscaler,"zscalernss-web:HGB","2022-06-20T10:00:00.000-0400",218832
zscaler,"zscalernss-web:HGB","2022-06-20T10:30:00.000-0400",217433
zscaler,"zscalernss-web:HGB","2022-06-20T11:00:00.000-0400",210443
zscaler,"zscalernss-web:HGB","2022-06-20T11:30:00.000-0400",179639
